Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010875,285.5,2025-04,Cotton Premium,15.25101487964049,Verano,15.25101487964049,270.2489851203595,2025-01-01
5527IM6010875,285.5,2025-05,Cotton Premium,15.914674004978488,Verano,15.914674004978488,269.5853259950215,2025-01-01
5527IM6010875,285.5,2025-06,Cotton Premium,12.627097382249527,Verano,12.627097382249527,272.87290261775047,2025-01-01
5527IM6010875,285.5,2025-07,Cotton Premium,19.39891648718196,Verano,19.39891648718196,266.10108351281804,2025-01-01
5527IM6010875,285.5,2025-08,Cotton Premium,33.232767655723826,Verano,33.232767655723826,252.26723234427618,2025-01-01
5527IM6010875,285.5,2025-09,Cotton Premium,38.58998811276251,Verano,38.58998811276251,246.9100118872375,2025-01-01
5527IM6010875,285.5,2025-10,Cotton Premium,46.98194900660126,Verano,46.98194900660126,238.51805099339873,2025-01-01
5527IM6010875,285.5,2025-11,Cotton Premium,36.75160930474107,Verano,36.75160930474107,248.74839069525893,2025-01-01
5527IM6010875,285.5,2025-12,Cotton Premium,26.141335085459247,Verano,26.141335085459247,259.3586649145408,2025-01-01
5527IM6010888,372.4,2025-01,Cotton Premium,38.14572653732166,Verano,38.14572653732166,334.2542734626783,2025-01-01
5527IM6010888,372.4,2025-02,Cotton Premium,28.08766212867445,Verano,28.08766212867445,344.31233787132555,2025-01-01
5527IM6010888,372.4,2025-03,Cotton Premium,32.49556086821503,Verano,32.49556086821503,339.90443913178495,2025-01-01
5527IM6010888,372.4,2025-04,Cotton Premium,28.81678724122064,Verano,28.81678724122064,343.5832127587793,2025-01-01
5527IM6010888,372.4,2025-05,Cotton Premium,30.07077092469932,Verano,30.07077092469932,342.32922907530065,2025-01-01
5527IM6010888,372.4,2025-06,Cotton Premium,23.858896054466125,Verano,23.858896054466125,348.54110394553385,2025-01-01
5527IM6010888,372.4,2025-07,Cotton Premium,36.65424586711224,Verano,36.65424586711224,335.7457541328877,2025-01-01
5527IM6010888,372.4,2025-08,Cotton Premium,62.793302775565,Verano,62.793302775565,309.606697224435,2025-01-01
5527IM6010888,372.4,2025-09,Cotton Premium,72.915768941465,Verano,72.915768941465,299.484231058535,2025-01-01
5527IM6010888,372.4,2025-10,Cotton Premium,88.77237609337513,Verano,88.77237609337513,283.6276239066249,2025-01-01
5527IM6010888,372.4,2025-11,Cotton Premium,69.44215283148117,Verano,69.44215283148117,302.9578471685188,2025-01-01
5527IM6010888,372.4,2025-12,Cotton Premium,49.39404343279305,Verano,49.39404343279305,323.0059565672069,2025-01-01
5527IM6011102,516.7,2025-01,Cotton Premium,113.79695967530247,Verano,113.79695967530247,402.9030403246976,2025-01-01
5527IM6011102,516.7,2025-02,Cotton Premium,83.79157627271948,Verano,83.79157627271948,432.9084237272806,2025-01-01
5527IM6011102,516.7,2025-03,Cotton Premium,96.94129239165476,Verano,96.94129239165476,419.7587076083453,2025-01-01
5527IM6011102,516.7,2025-04,Cotton Premium,85.96671431733081,Verano,85.96671431733081,430.73328568266925,2025-01-01
5527IM6011102,516.7,2025-05,Cotton Premium,89.70761909529313,Verano,89.70761909529313,426.9923809047069,2025-01-01
5527IM6011102,516.7,2025-06,Cotton Premium,71.17625167136087,Verano,71.17625167136087,445.52374832863916,2025-01-01
5527IM6011102,516.7,2025-07,Cotton Premium,109.34754997489333,Verano,109.34754997489333,407.3524500251067,2025-01-01
5527IM6011102,516.7,2025-08,Cotton Premium,187.32601506065723,Verano,187.32601506065723,329.3739849393428,2025-01-01
5527IM6011102,516.7,2025-09,Cotton Premium,217.52352284618905,Verano,217.52352284618905,299.176477153811,2025-01-01
5527IM6011102,516.7,2025-10,Cotton Premium,264.8272144638484,Verano,264.8272144638484,251.87278553615164,2025-01-01
